Nama Produk,Harga,Toko,Platform,Rating,Jumlah Terjual,Lokasi Toko,Link Produk,Diskon/Promo
Avoskin Miraculous Refining Serum,249796,Avoskin Shop,Shopee,4.8,5588,Samarinda,https://shopee.co.id/product/147229/404159843,Buy 1 Get 1
Garnier Bright Complete Serum,168372,Garnier Shop,Tokopedia,4.8,1184,Sidoarjo,https://tokopedia.com/shop/product-110336-433292756,Buy 1 Get 1
Erha Acneact Serum,3847317,Erha Official Store,Tokopedia,5,3933,Yogyakarta,https://tokopedia.com/beauty/product-358842-847967368,
Lacoco Dark Spot Essence,Rp98.004,Toko Lacoco,Shopee,"4,7",2589,Purwokerto,https://shopee.co.id/product/423351/609377430,
Avoskin Miraculous Refining Serum,162786,Avoskin Center,Tokopedia,5,7807,Pekanbaru,https://tokopedia.com/official/product-788077-799379291,Bonus Sample
Erha Acneact Serum,212498,Erha Official,Tokopedia,4.6,4105,Bandung,https://tokopedia.com/beauty/product-179899-940931911,Diskon 15%
Wardah Lightening Day Cream Advanced Niacinamide,192023,Wardah Official,Tokopedia,4.9,2109,Banjarmasin,https://tokopedia.com/shop/product-686723-512696356,
Somethinc Niacinamide Moisture Sabi Beet Serum,288830,Somethinc Flagship,Shopee,4.7,1201,Yogyakarta,https://shopee.co.id/product/888938/743332581,Bonus Sample
Whitelab Brightening Face Serum,252119,Whitelab Shop,Shopee,4.7,433,Batam,https://shopee.co.id/product/171759/601448343,
Wardah Lightening Day Cream Advanced Niacinamide,73.13,Wardah Official,Shopee,5,2583,Samarinda,https://shopee.co.id/product/913374/993683448,
Elsheskin Radiant Skin Serum,113429,Elsheskin Official Store,Tokopedia,,4432,Semarang,https://tokopedia.com/beauty/product-848041-364657129,
Whitelab Brightening Face Serum,118049,Whitelab Official,Tokopedia,"4,6",4801,Bogor,https://tokopedia.com/official/product-374801-45281764,Diskon 12%
Wardah Lightening Day Cream Advanced Niacinamide,63172,Wardah Beauty Store,Tokopedia,,494,,https://tokopedia.com/shop/product-201813-480239979,Diskon 15%
Lacoco Dark Spot Essence,Rp249.490,Lacoco Center,Tokopedia,5,500,Parepare,https://tokopedia.com/beauty/product-220234-709975753,Free Gift
Wardah Lightening Day Cream Advanced Niacinamide,Rp77.562,Wardah Flagship,Shopee,"4,9",7581,Kediri,https://shopee.co.id/product/255635/508683402,Diskon 12%
Azarine Hydramax C Sunscreen Serum,133172,Azarine Shop,Tokopedia,4.9,1490,Balikpapan,tokopedia.com/beauty/product-866707-187546085,
Scarlett Whitening Acne Serum,85523,Scarlett Official,Tokopedia,4.8,6491,Ciamis,https://tokopedia.com/beauty/product-723387-715912301,
Elsheskin Radiant Skin Serum,81653,Toko Elsheskin,Tokopedia,5,4932,Martapura,tokopedia.com/beauty/product-310231-709540290,Buy 1 Get 1
Pond's Bright Beauty Triple Glow Serum,133402,Pond's Beauty Store,Shopee,4.9,3004,Cirebon,https://shopee.co.id/product/267414/270426168,diskon 10%
Erha Acneact Serum,137921,Erha Official,Tokopedia,5,933,Banyuwangi,tokopedia.com/official/product-502464-330608212,Diskon 15%
Garnier Bright Complete Serum,80572,Garnier Flagship,Tokopedia,,505,Tangerang,https://tokopedia.com/beauty/product-508991-715850122,
Pond's Bright Beauty Triple Glow Serum,142494,Pond's Flagship,Tokopedia,4.6,492,Banyuwangi,https://tokopedia.com/shop/product-623641-845232654,
MS Glow Whitening Night Cream,,MS Glow Official Store,Tokopedia,4.7,3618,Blitar,https://tokopedia.com/shop/product-340903-125005174,buy1 get1
Olay Total Effects 7 in One Day Cream,112422,Olay Official Store,Shopee,4.8,1289,Kediri,https://shopee.co.id/product/854294/579432550,VOUCHER 20K
Olay Total Effects 7 in One Day Cream,176883,Olay Official,Shopee,"5,0",26,Jember,https://shopee.co.id/product/297288/622183220,Diskon 20%
Avoskin Miraculous Refining Serum,117438,Avoskin Official Store,Shopee,4.7,3479,Surabaya,https://shopee.co.id/product/250345/533178530,Diskon 5%
Scarlett Whitening Acne Serum,108089,Scarlett Center,Tokopedia,4.7,1563,Karawang,https://tokopedia.com/official/product-513904-464427455,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,80575,Some By Mi Center,Shopee,4.6,364,Magelang,shopee.co.id/product/144369/98719213,Diskon 15%
Pond's Bright Beauty Triple Glow Serum,78751,Pond's Flagship,Tokopedia,4.8,3325,Pasuruan,https://tokopedia.com/official/product-267636-509176000,
Somethinc Niacinamide Moisture Sabi Beet Serum,96620,Somethinc Beauty Store,Tokopedia,,78,Bandung,https://tokopedia.com/shop/product-775318-222970325,DISKON 20%
Wardah Lightening Day Cream Advanced Niacinamide,115971,Wardah Official,Tokopedia,4.6,4571,Bogor,https://tokopedia.com/official/product-682380-637091986,
Somethinc Niacinamide Moisture Sabi Beet Serum,,Toko Somethinc,Shopee,4.8,4352,Pangkalan Bun,https://shopee.co.id/product/380076/570811381,
Somethinc Niacinamide Moisture Sabi Beet Serum,Rp290.560,Somethinc Official,Tokopedia,4.8,4470,Ciamis,https://tokopedia.com/shop/product-609871-247474244,Diskon 10%
Elsheskin Radiant Skin Serum,43197,Elsheskin Center,Shopee,4.9,244,Tangerang,https://shopee.co.id/product/530800/165771214,
Skintific 5X Ceramide Barrier Repair Moisturizer,141517,Skintific Official,Tokopedia,4.7,933,Sidoarjo,https://tokopedia.com/official/product-273047-729401508,
Azarine Hydramax C Sunscreen Serum,160822,Azarine Official Store,Tokopedia,4.9,1206,Depok,https://tokopedia.com/official/product-944922-635012628,Diskon 15%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,145383,Hada Labo Official Store,Shopee,4.7,923,Makassar,https://shopee.co.id/product/105303/809096113,Free Gift
Whitelab Brightening Face Serum,"298,360",Whitelab Flagship,Tokopedia,4.8,1053,Tangerang,https://tokopedia.com/shop/product-621622-917336349,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,76352,Hada Labo Center,Shopee,4.7,269,Blitar,https://shopee.co.id/product/329391/785458491,Bonus Sample
Elsheskin Radiant Skin Serum,128755,Elsheskin Center,Tokopedia,4.6,96,Kediri,https://tokopedia.com/official/product-633910-468916421,Free Gift
Some By Mi AHA BHA PHA 30 Days Miracle Serum,224374,Some By Mi Official,Shopee,,1025,Bekasi,https://shopee.co.id/product/286160/262703206,
Somethinc Niacinamide Moisture Sabi Beet Serum,224224,Somethinc Beauty Store,Shopee,4.6,1293,Batam,https://shopee.co.id/product/594701/462934298,
MS Glow Whitening Night Cream,249769,MS Glow Official,Tokopedia,4.7,856,Magelang,https://tokopedia.com/beauty/product-455098-875062178,Free Gift
Azarine Hydramax C Sunscreen Serum,72769,Azarine Shop,Tokopedia,4.9,204,Solo,tokopedia.com/shop/product-609972-168050905,buy1 get1
Olay Total Effects 7 in One Day Cream,163089,Olay Beauty Store,Shopee,,1286,Bogor,https://shopee.co.id/product/903025/818271790,buy1 get1
Skintific 5X Ceramide Barrier Repair Moisturizer,93173,Skintific Flagship,Tokopedia,4.9,3930,Yogyakarta,https://tokopedia.com/official/product-430499-566947254,Diskon 10%
Lacoco Dark Spot Essence,104383,Toko Lacoco,Tokopedia,4.7,4486,Banyuwangi,https://tokopedia.com/shop/pr0duct-718064-237782145,
Citra Pearl Fair UV Face Cream,Rp170.510,Citra Center,Shopee,4.8,81,Denpasar,https://tokopedia.com/official/product-238907-268926344,
NPURE Cica Beat The Sun SPF 50,Rp193.596,NPURE Official Store,Tokopedia,4.9,3205,Ciamis,https://tokopedia.com/beauty/product-917861-926063848,Voucher 20K
Olay Total Effects 7 in One Day Cream,249796,Olay Official Store,Shopee,4.8,269,Pangkalan Bun,https://shopee.co.id/product/147229/404159843,Buy 1 Get 1
NPURE Cica Beat The Sun SPF 50,126630,NPURE Flagship,Shopee,4.8,171,Banjarmasin,https://tokopedia.com/beauty/product-893503-419796843,
Erha Acneact Serum,82298,Erha Official,Shopee,5,9417,Palembang,https://shopee.co.id/product/568897/59834167,
Skintific 5X Ceramide Barrier Repair Moisturizer,275818,Toko Skintific,tokopedia,,1718,Pekanbaru,https://tokopedia.com/shop/product-190552-875694616,diskon 7%
MS Glow Whitening Night Cream,94703,MS Glow Official Store,Tokopedia,,284,Malang,,
Erha Acneact Serum,89681,Erha Center,Shopee,4.9,2123,Pangkalan Bun,https://shopee.co.id/product/960583/557341595,Bonus Sample
Skintific 5X Ceramide Barrier Repair Moisturizer,161460,Skintific Shop,Shopee,4.8,179,Padang,https://shopee.co.id/pr0duct/997505/890285335,Diskon 8%
The Originote Bakuchiol Skin Barrier Serum,Rp137.943,The Originote Shop,Tokopedia,4.9,3037,Bogor,https://tokopedia.com/official/product-423288-78922820,buy1 get1
Some By Mi AHA BHA PHA 30 Days Miracle Serum,207742,Some By Mi Beauty Store,Tokopedia,4.9,914,Magelang,https://tokopedia.com/shop/product-215756-661971151,
Elsheskin Radiant Skin Serum,Rp56.200,Elsheskin Flagship,shopee,4.7,2243,Pekanbaru,,
Lacoco Dark Spot Essence,252937,Lacoco Official,Tokopedia,,7480,Palopo,https://tokopedia.com/beauty/product-716794-175501548,buy1 get1
Somethinc Niacinamide Moisture Sabi Beet Serum,48606,Somethinc Official Store,Shopee,4.9,3276,Karawang,https://shopee.co.id/product/497727/837666995,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,280506,Hada Labo Beauty Store,Shopee,,5315,Depok,https://shopee.co.id/product/376101/601459934,voucher 20k
Azarine Hydramax C Sunscreen Serum,Rp229.631,Azarine Beauty Store,Tokopedia,4.6,3382,Metro,tokopedia.com/shop/product-644208-28639128,Diskon 8%
Skintific 5X Ceramide Barrier Repair Moisturizer,290911,Skintific Beauty Store,Shopee,4.8,5347,Jember,,Diskon 15%
Wardah Lightening Day Cream Advanced Niacinamide,Rp229.631,Toko Wardah,Tokopedia,4.6,620,Parepare,tokopedia.com/shop/product-644208-28639128,Diskon 8%
Olay Total Effects 7 in One Day Cream,,Olay Flagship,Tokopedia,4.7,616,Malang,https://tokopedia.com/shop/product-799981-252477027,
Lacoco Dark Spot Essence,216448,Lacoco Center,Tokopedia,4.7,4246,Madiun,https://tokopedia.com/shop/product-528871-911391614,Diskon 12%
Citra Pearl Fair UV Face Cream,45141,Citra Center,Shopee,4.7,9213,Pekanbaru,https://shopee.co.id/pr0duct/646505/906121666,Bonus Sample
Wardah Lightening Day Cream Advanced Niacinamide,Rp72.703,Wardah Official,Tokopedia,5,3703,Banjarmasin,https://tokopedia.com/beauty/product-599343-539439294,
Pond's Bright Beauty Triple Glow Serum,284790,Pond's Center,Shopee,"4,9",137,Bogor,,
Olay Total Effects 7 in One Day Cream,174115,Olay Shop,Tokopedia,4.8,3952,Gresik,,Gratis Ongkir
Azarine Hydramax C Sunscreen Serum,51937,Azarine Flagship,Tokopedia,5,689,Kudus,https://tokopedia.com/official/product-686673-777953734,Diskon 9%
Emina Bright Stuff Face Serum,104605,Emina Flagship,Tokopedia,4.9,331,Cirebon,https://tokopedia.com/official/product-658194-840960856,
Wardah Lightening Day Cream Advanced Niacinamide,30568,Toko Wardah,Tokopedia,"4,7",4282,Kudus,https://tokopedia.com/official/product-998660-939997029,
Whitelab Brightening Face Serum,63412,Whitelab Official,Shopee,4.8,3252,Surabaya,https://shopee.co.id/product/142043/212162010,Diskon 12%
Scarlett Whitening Acne Serum,155842,Scarlett Flagship,Tokopedia,4.9,1603,Sukabumi,https://tokopedia.com/shop/product-160351-115458534,Diskon 15%
Elsheskin Radiant Skin Serum,270928,Elsheskin Center,Shopee,4.6,4171,Parepare,https://shopee.co.id/product/879114/744356962,
Whitelab Brightening Face Serum,55535,Whitelab Beauty Store,Tokopedia,4.9,462,Denpasar,https://tokopedia.com/shop/product-919135-190643580,Diskon 8%
Wardah Lightening Day Cream Advanced Niacinamide,197727,Wardah Official Store,Tokopedia,4.7,3043,Batam,https://tokopedia.com/shop/product-714080-264263034,Diskon 10%
Pond's Bright Beauty Triple Glow Serum,201083,Pond's Flagship,Shopee,4.7,8846,Bandung,https://shopee.co.id/product/783719/296687229,Gratis Ongkir
Somethinc Niacinamide Moisture Sabi Beet Serum,88540,Somethinc Official,Shopee,4.8,3679,Jember,https://shopee.co.id/product/173582/170438092,
Lacoco Dark Spot Essence,157340,Lacoco Shop,Tokopedia,,6556,Samarinda,https://tokopedia.com/beauty/product-733319-6621505,Free Gift
Avoskin Miraculous Refining Serum,190.282,Avoskin Official Store,Tokopedia,4.9,181,Martapura,https://tokopedia.com/official/product-597273-486454261,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,191170,Some By Mi Official Store,Shopee,4.7,4150,Yogyakarta,shopee.co.id/product/795299/596748807,Diskon 10%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,"209,076",Some By Mi Beauty Store,Shopee,4.9,1128,Samarinda,https://shopee.co.id/pr0duct/793494/437345949,Cashback 5%
The Originote Bakuchiol Skin Barrier Serum,Rp127.656,The Originote Official Store,Tokopedia,4.9,3579,Makassar,https://tokopedia.com/official/product-451101-131368270,buy1 get1
Avoskin Miraculous Refining Serum,,Avoskin Beauty Store,Tokopedia,,900,Manado,tokopedia.com/official/product-336131-965332893,buy1 get1
MS Glow Whitening Night Cream,5476777,MS Glow Official,Tokopedia,4.9,810,Banjarmasin,,Voucher 20K
Garnier Bright Complete Serum,263879,Garnier Center,Shopee,4.7,7468,Ciamis,https://shopee.co.id/product/398127/609613551,Buy 1 Get 1
Azarine Hydramax C Sunscreen Serum,260508,Azarine Shop,Shopee,5,228,Martapura,shopee.co.id/product/263182/871538381,Voucher 20K
Scarlett Whitening Acne Serum,163533,Scarlett Flagship,Tokopedia,4.9,7529,Kendal,,Diskon 15%
NPURE Cica Beat The Sun SPF 50,297.119,NPURE Shop,Tokopedia,4.8,1185,Gresik,https://tokopedia.com/shop/pr0duct-817404-655498694,bonus sample
Garnier Bright Complete Serum,"156,975",Garnier Center,Shopee,4.6,3320,Metro,https://shopee.co.id/product/993328/198297025,
MS Glow Whitening Night Cream,135866,Toko MS Glow,Shopee,4.6,800,Samarinda,https://shopee.co.id/product/261156/92891293,buy1 get1
The Originote Bakuchiol Skin Barrier Serum,183390,The Originote Official Store,Shopee,4.7,6929,Gresik,https://shopee.co.id/product/497065/923203253,Diskon 7%
The Originote Bakuchiol Skin Barrier Serum,155.666,The Originote Flagship,Tokopedia,4.9,1829,Semarang,https://tokopedia.com/shop/product-144762-398682316,Free Gift
Whitelab Brightening Face Serum,,Whitelab Beauty Store,Tokopedia,,1356,Pangkalan Bun,,
Avoskin Miraculous Refining Serum,Rp71.222,Toko Avoskin,Tokopedia,4.7,4966,Probolinggo,https://tokopedia.com/official/product-461813-498057084,cashback 5%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,264509,Some By Mi Shop,Tokopedia,4.6,1319,Bekasi,https://tokopedia.com/beauty/product-851228-484112303,
Olay Total Effects 7 in One Day Cream,179293,Olay Official Store,Shopee,4.7,3861,Metro,https://shopee.co.id/product/674353/793504121,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,41.011,Some By Mi Shop,Shopee,4.7,6636,Probolinggo,https://shopee.co.id/product/208498/129496084,
MS Glow Whitening Night Cream,83249,MS Glow Official Store,Shopee,4.9,167,Surabaya,https://shopee.co.id/product/627922/753740727,DISKON 8%
Whitelab Brightening Face Serum,"272,785",Whitelab Center,Tokopedia,4.6,3234,Jember,,Voucher 20K
Olay Total Effects 7 in One Day Cream,85542,Olay Shop,Shopee,4.7,1357,Parepare,https://shopee.co.id/product/223331/868083383,Buy 1 Get 1
Azarine Hydramax C Sunscreen Serum,131934,Azarine Official,shopee,4.7,505,Sukabumi,https://shopee.co.id/product/293328/650169942,Voucher 20K
Emina Bright Stuff Face Serum,87217,Emina Beauty Store,Tokopedia,4.8,4737,Medan,https://tokopedia.com/beauty/product-100930-214037476,Diskon 10%
Elsheskin Radiant Skin Serum,264093,Elsheskin Shop,Shopee,4.7,1490,Pangkalan Bun,https://shopee.co.id/product/937381/953228260,Bonus Sample
Azarine Hydramax C Sunscreen Serum,118253,Azarine Center,Tokopedia,4.9,2829,Tangerang,https://tokopedia.com/shop/product-731556-913698248,
Pond's Bright Beauty Triple Glow Serum,"49,283",Pond's Shop,Tokopedia,4.6,2474,Pekanbaru,https://tokopedia.com/official/product-617303-769326268,Free Gift
Azarine Hydramax C Sunscreen Serum,296636,Azarine Official Store,Shopee,4.7,910,Yogyakarta,shopee.co.id/product/844439/475071245,Gratis Ongkir
Hada Labo Gokujyun Ultimate Moisturizing Lotion,99251,Toko Hada Labo,Shopee,5,1144,Parepare,https://shopee.co.id/product/523128/565040274,Bonus Sample
Some By Mi AHA BHA PHA 30 Days Miracle Serum,35515,Some By Mi Official,Tokopedia,4.9,736,Pekanbaru,https://tokopedia.com/beauty/pr0duct-186123-263020469,Diskon 5%
The Originote Bakuchiol Skin Barrier Serum,"153,155",The Originote Official,Shopee,4.9,506,Ciamis,https://shopee.co.id/product/664720/223782393,Buy 1 Get 1
Emina Bright Stuff Face Serum,192350,Emina Beauty Store,Tokopedia,4.8,1325,Balikpapan,https://tokopedia.com/beauty/product-842218-469831294,
Hada Labo Gokujyun Ultimate Moisturizing Lotion,"73,297",Hada Labo Center,tokopedia,4.9,1690,Parepare,https://tokopedia.com/beauty/product-876911-471263320,Free Gift
Pond's Bright Beauty Triple Glow Serum,,Pond's Official Store,Shopee,4.9,1466,Jakarta,https://shopee.co.id/product/845764/462804868,Diskon 15%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,190976,Toko Hada Labo,Shopee,4.7,1491,Purwokerto,https://shopee.co.id/product/937153/331329051,
Citra Pearl Fair UV Face Cream,126089,Citra Flagship,Shopee,5,1051,Makassar,https://shopee.co.id/product/926028/100023805,
Scarlett Whitening Acne Serum,"44,152",Scarlett Official Store,Tokopedia,5,1298,Bekasi,https://tokopedia.com/official/product-921568-904555148,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,Rp50.436,Some By Mi Official Store,Shopee,4.8,2517,Balikpapan,https://shopee.co.id/product/944411/207059067,
Lacoco Dark Spot Essence,209646,Lacoco Official,tokopedia,4.6,868,Jember,https://tokopedia.com/shop/product-480606-949003780,
Citra Pearl Fair UV Face Cream,46456,Citra Flagship,Shopee,"5,0",362,Solo,https://shopee.co.id/product/548287/537382047,gratis ongkir
Elsheskin Radiant Skin Serum,232129,Elsheskin Official Store,Shopee,"5,0",606,Makassar,https://shopee.co.id/product/232001/282493010,Diskon 9%
Emina Bright Stuff Face Serum,201629,Emina Official,Shopee,4.7,8033,Karawang,https://shopee.co.id/product/554798/567259589,Buy 1 Get 1
Elsheskin Radiant Skin Serum,196899,Elsheskin Shop,Tokopedia,5,721,Tegal,https://tokopedia.com/beauty/product-584968-534230876,Cashback 5%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,154214,Some By Mi Flagship,Shopee,4.6,1240,Solo,shopee.co.id/product/247377/396964126,Diskon 8%
Somethinc Niacinamide Moisture Sabi Beet Serum,"121,592",Somethinc Beauty Store,Tokopedia,4.9,499,Balikpapan,https://tokopedia.com/official/product-146977-931995186,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,40538,Toko Some By Mi,Shopee,4.7,4607,Kendal,https://shopee.co.id/product/679603/932094189,diskon 10%
Citra Pearl Fair UV Face Cream,97259,Citra Official Store,Shopee,4.9,4291,Makassar,https://shopee.co.id/product/367517/584340193,Gratis Ongkir
Wardah Lightening Day Cream Advanced Niacinamide,174735,Wardah Beauty Store,Shopee,4.9,632,Kendal,https://shopee.co.id/product/656709/56923966,diskon 5%
NPURE Cica Beat The Sun SPF 50,71489,NPURE Flagship,Shopee,4.7,3262,Kendal,https://shopee.co.id/pr0duct/222781/733581273,
Emina Bright Stuff Face Serum,,Emina Flagship,Shopee,,2144,Tangerang,https://shopee.co.id/product/403291/888243516,
Somethinc Niacinamide Moisture Sabi Beet Serum,179799,Somethinc Center,Shopee,4.8,218,Palembang,https://shopee.co.id/product/909485/251007640,
Olay Total Effects 7 in One Day Cream,91500,Olay Shop,Tokopedia,4.9,959,Banjarmasin,https://tokopedia.com/official/product-229137-961350997,Diskon 15%
MS Glow Whitening Night Cream,96.216,MS Glow Official Store,Tokopedia,4.9,1167,Surabaya,https://tokopedia.com/beauty/product-184876-247891385,DISKON 8%
Somethinc Niacinamide Moisture Sabi Beet Serum,226075,Somethinc Shop,shopee,4.6,3227,Kudus,https://shopee.co.id/product/744910/380392344,Diskon 5%
Azarine Hydramax C Sunscreen Serum,"78,413",Azarine Flagship,Shopee,"4,6",4936,Samarinda,https://tokopedia.com/official/product-572005-936085655,Diskon 20%
Azarine Hydramax C Sunscreen Serum,,Azarine Official Store,Shopee,4.7,4616,Palopo,https://shopee.co.id/product/566910/324493093,
The Originote Bakuchiol Skin Barrier Serum,146809,The Originote Center,Tokopedia,5,1665,Tegal,,Diskon 12%
MS Glow Whitening Night Cream,Rp156.515,MS Glow Center,Shopee,4.7,2828,Magelang,https://shopee.co.id/product/595308/254893089,
MS Glow Whitening Night Cream,4378140,MS Glow Shop,Shopee,4.9,4136,Surabaya,https://shopee.co.id/product/785256/916778751,
Pond's Bright Beauty Triple Glow Serum,55535,Pond's Center,Tokopedia,4.9,1902,Makassar,https://tokopedia.com/shop/product-919135-190643580,Diskon 8%
Emina Bright Stuff Face Serum,166632,Emina Shop,Tokopedia,,4240,Palembang,https://tokopedia.com/beauty/product-320302-661520389,
Erha Acneact Serum,135860,Erha Flagship,Tokopedia,"4,8",5204,Ciamis,https://tokopedia.com/beauty/product-997771-976287446,Diskon 20%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,153838,Hada Labo Flagship,Shopee,4.9,522,Solo,https://shopee.co.id/pr0duct/682157/361649300,
Avoskin Miraculous Refining Serum,Rp210.469,Avoskin Official Store,Shopee,"4,7",2010,Bogor,https://shopee.co.id/product/515940/162999634,voucher 20k
Erha Acneact Serum,168987,Erha Beauty Store,Tokopedia,4.8,3700,Madiun,https://tokopedia.com/beauty/product-498817-194980877,Voucher 20K
Scarlett Whitening Acne Serum,42090,Scarlett Official Store,Tokopedia,4.6,2967,Kediri,https://tokopedia.com/shop/product-426893-389945537,Diskon 15%
Azarine Hydramax C Sunscreen Serum,203070,Azarine Beauty Store,Tokopedia,4.9,70,Depok,https://tokopedia.com/beauty/product-380082-473946688,
NPURE Cica Beat The Sun SPF 50,267591,NPURE Flagship,Tokopedia,4.7,5524,Ciamis,https://tokopedia.com/beauty/product-349111-308818275,Buy 1 Get 1
Olay Total Effects 7 in One Day Cream,,Olay Official Store,Shopee,"5,0",1190,Palembang,https://shopee.co.id/product/592662/695500745,Diskon 9%
Some By Mi AHA BHA PHA 30 Days Miracle Serum,73728,Some By Mi Official,Shopee,4.7,1768,Pontianak,https://shopee.co.id/product/816416/129738149,Diskon 7%
MS Glow Whitening Night Cream,"78,413",MS Glow Beauty Store,Shopee,"4,6",8614,Ciamis,https://tokopedia.com/official/product-572005-936085655,Diskon 20%
MS Glow Whitening Night Cream,220364,MS Glow Center,Tokopedia,4.9,3983,Sidoarjo,,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,213188,Some By Mi Flagship,Shopee,4.9,3313,Parepare,https://shopee.co.id/product/251010/35902469,Diskon 20%
Skintific 5X Ceramide Barrier Repair Moisturizer,,Toko Skintific,Tokopedia,4.8,313,Kediri,https://tokopedia.com/shop/product-266761-685765411,
The Originote Bakuchiol Skin Barrier Serum,45087,The Originote Center,Tokopedia,,2969,Malang,https://tokopedia.com/beauty/product-469110-330673088,
Scarlett Whitening Acne Serum,296332,Scarlett Shop,Tokopedia,4.6,1191,Ciamis,https://tokopedia.com/beauty/product-895784-776244448,
Some By Mi AHA BHA PHA 30 Days Miracle Serum,3796,Some By Mi Flagship,Shopee,5,4051,Madiun,https://shopee.co.id/product/754041/244947631,Bonus Sample
Somethinc Niacinamide Moisture Sabi Beet Serum,60.297,Somethinc Shop,Shopee,4.6,2260,Magelang,https://shopee.co.id/product/978629/600598725,Diskon 12%
Emina Bright Stuff Face Serum,179132,Toko Emina,Shopee,4.8,2409,Palembang,shopee.co.id/product/354199/873867698,
Garnier Bright Complete Serum,120679,Garnier Center,Shopee,4.9,6875,Makassar,https://shopee.co.id/product/836952/213410044,
Erha Acneact Serum,273961,Erha Center,Tokopedia,,1471,Ciamis,https://tokopedia.com/beauty/product-707036-941223312,
MS Glow Whitening Night Cream,146718,MS Glow Official,Tokopedia,4.9,5244,Kudus,https://tokopedia.com/shop/product-209413-368678729,buy1 get1
Wardah Lightening Day Cream Advanced Niacinamide,Rp261.015,Toko Wardah,Tokopedia,4.6,1433,,https://tokopedia.com/beauty/product-915501-674214661,
Whitelab Brightening Face Serum,256.704,Whitelab Official Store,Tokopedia,4.8,9669,Gresik,https://tokopedia.com/beauty/product-675604-26029971,Bonus Sample
Elsheskin Radiant Skin Serum,110.603,Elsheskin Beauty Store,Tokopedia,4.8,-318,Tegal,,
Wardah Lightening Day Cream Advanced Niacinamide,205689,Toko Wardah,Tokopedia,4.9,885,Gresik,https://tokopedia.com/shop/product-606632-11510455,
Citra Pearl Fair UV Face Cream,257016,Citra Beauty Store,Tokopedia,4.7,4096,Bekasi,https://tokopedia.com/official/product-671459-207850162,DISKON 7%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,Rp221.343,Hada Labo Beauty Store,Tokopedia,5,3010,Sukabumi,https://tokopedia.com/shop/product-144731-856676752,Diskon 20%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,227081,Hada Labo Official Store,Shopee,4.7,1194,Magelang,https://shopee.co.id/product/473448/672242964,Diskon 8%
Whitelab Brightening Face Serum,"238,042",Toko Whitelab,Shopee,4.9,3639,Tangerang,https://shopee.co.id/product/545299/664042902,Diskon 10%
Scarlett Whitening Acne Serum,265865,Scarlett Official Store,Tokopedia,4.8,6216,Palopo,https://tokopedia.com/shop/product-637302-219821099,
Avoskin Miraculous Refining Serum,146754,Toko Avoskin,Tokopedia,4.7,2076,Semarang,https://tokopedia.com/beauty/product-857710-850822062,Free Gift
Lacoco Dark Spot Essence,243974,Lacoco Flagship,Tokopedia,4.8,493,Surabaya,,
Skintific 5X Ceramide Barrier Repair Moisturizer,123412,Skintific Shop,shopee,4.9,890,Tangerang,,Buy 1 Get 1
Somethinc Niacinamide Moisture Sabi Beet Serum,2185,Somethinc Shop,Tokopedia,,4404,Probolinggo,,DISKON 7%
Hada Labo Gokujyun Ultimate Moisturizing Lotion,109238,Hada Labo Center,Shopee,4.6,6240,Banyuwangi,https://shopee.co.id/product/399056/820284416,Diskon 10%
Azarine Hydramax C Sunscreen Serum,234415,Azarine Beauty Store,Shopee,4.7,229,Bekasi,https://shopee.co.id/product/782821/762382269,Gratis Ongkir
Garnier Bright Complete Serum,279401,Garnier Beauty Store,Tokopedia,4.9,739,Medan,https://tokopedia.com/shop/product-827027-517606593,Diskon 5%
Garnier Bright Complete Serum,69371,Garnier Official Store,Shopee,4.9,7538,Manado,https://shopee.co.id/product/293723/845256385,buy1 get1
The Originote Bakuchiol Skin Barrier Serum,169762,The Originote Official,Shopee,4.6,4181,Parepare,https://shopee.co.id/product/314760/541983490,Voucher 20K
Wardah Lightening Day Cream Advanced Niacinamide,153023,Wardah Center,Shopee,4.7,535,Gresik,https://shopee.co.id/product/271870/825364622,Diskon 8%
Lacoco Dark Spot Essence,,Lacoco Center,Shopee,4.6,854,Kendal,https://shopee.co.id/product/933270/508898024,
MS Glow Whitening Night Cream,,MS Glow Shop,Tokopedia,4.9,94,Metro,,Bonus Sample
Whitelab Brightening Face Serum,226747,Whitelab Shop,Shopee,4.7,4101,Batam,,
Garnier Bright Complete Serum,118660,Toko Garnier,Tokopedia,4.9,1102,Karawang,https://tokopedia.com/shop/product-973451-371334818,
